Largeur eprouvette,Epaisseur,Distance inter-appui,epsilon1,epsilon2,delta1,delta2,effort1,effort2,sigma1,sigma2,Module E
5.595949597768822,1.4699275296572514,26,0.0005,0.0025,0.03832388481523902,0.1916194240761951,12.242215365789441,134.66436902368386,39.48744016343069,434.3618417977376,197437.20081715347
5.396972811614879,1.3831834902389428,29,0.0005,0.0025,0.05066813899089161,0.2533406949544581,6.433318545723047,70.76650400295352,27.102820555459946,298.13102611005945,135514.10277729973
6.340305277754961,1.1443163904649372,25,0.0005,0.0025,0.045514801472145136,0.2275740073607257,5.963788031999733,65.60166835199706,26.937113777092733,296.3082515480201,134685.56888546367
5.1945577828264815,1.3078563318501366,26,0.0005,0.0025,0.04307302871229163,0.2153651435614581,6.1528213686548465,67.68103505520331,27.00662122868762,297.07283351556384,135033.1061434381
5.945961656665022,1.4319240485199365,25,0.0005,0.0025,0.036372972007256706,0.18186486003628352,9.01296956274376,99.14266519018135,27.72280064994614,304.9508071494075,138614.0032497307
5.6592228194658505,1.473185479841153,27,0.0005,0.0025,0.041237169949944384,0.20618584974972193,8.370599900522583,92.07659890574841,27.601962032653887,303.62158235919276,138009.81016326943
6.08601279764748,1.0099060081017037,29,0.0005,0.0025,0.06939589701527502,0.3469794850763751,1.042836236789159,11.47119860468075,7.308202922696039,80.39023214965644,36541.0146134802
5.648824609705559,1.3071598331275909,25,0.0005,0.0025,0.039844655575680864,0.19922327787840433,2.006246046948849,22.068706516437334,7.794710371842428,85.74181409026671,38973.551859212144
5.056786549826178,1.0620861324207267,25,0.0005,0.0025,0.04903870952031359,0.24519354760156797,1.1219460791876206,12.341406871063827,7.375800375236248,81.13380412759874,36879.00187618124
5.048652426326671,1.042020355430222,25,0.0005,0.0025,0.049983028701804516,0.24991514350902258,1.0721436440790093,11.793580084869104,7.334261063741761,80.67687170115937,36671.3053187088
6.589253530388262,1.4454386023028756,25,0.0005,0.0025,0.03603289219642679,0.18016446098213396,2.9279882195782636,32.207870415360894,7.975631445500476,87.73194590050521,39878.157227502365
5.064519735012111,1.3866510301745703,25,0.0005,0.0025,0.037560519698151,0.18780259849075503,10.127667586300014,111.40434344930016,39.00031196732578,429.0034316405836,195001.5598366289
